1	1.02
2	1.0588235294117647
3	1.0
4	1.5
5	1.5
6	1.5
7	1.0
8	1.5
9	1.0
A	3.275899648342265
B	4.43676859192148
C	6.204073527743107
D	4.306200411401704
E	5.307238813182565
F	4.87378966665806
G	5.163681818181818
H	3.966131770968778
I	2.1290417039114753
J	5.148983570036202
K	4.622562809195848
L	4.454545454545454
M	3.990697595029614
N	3.749964544036307
O	2.8046206567868732
P	6.209215222076958
Q	5.852795739825028
R	5.854965809182676
S	4.48601978893492
T	3.772103219434822
U	4.588696504410324
V	5.540627750073336
W	4.373096283946263
X	3.1650485436893203
Y	3.51717399473882
Z	5.053333333333334
1	1.02
2	1.0588235294117647
3	1.0
4	1.5
5	1.5
6	1.5
7	1.0
8	1.5
9	1.0
A	3.891394576646375
B	5.139302507836991
C	6.629694233531706
D	5.201834862385321
E	5.514263685427911
F	5.255528255528255
G	5.809792180345192
H	4.42107243650047
I	1.4526860926284046
J	4.984008528784648
K	4.657106838953672
L	5.115881561238224
M	5.44646530258742
N	3.9848387785607517
O	2.8794768365725463
P	6.505740766357726
Q	5.5216426193118755
R	5.929275069461985
S	5.293126010314833
T	3.959143714919723
U	5.325
V	5.194537815126051
W	4.464014043300176
X	3.1650485436893203
Y	3.4432244242099626
Z	6.1
a	3.0776554817818575
b	4.245396808453862
c	6.041441229514624
d	4.146387533448764
e	5.182465923172243
f	4.778552071234998
g	4.938916799411837
h	3.8777881295555434
i	2.7292957500654507
j	5.329446064139941
k	4.607202914798206
l	4.272777716124736
m	3.7182168186423508
n	3.7032013944985334
o	2.7875536480686693
p	6.10748861047836
q	6.025462962962963
r	5.829150579150579
s	4.327014649237208
t	3.733261651336357
u	4.4905590522028875
v	5.726228030644434
w	4.3475752474027844
y	3.5292446231858716
z	4.672727272727273
